id,Title,Repatriated?,Year Returned,Sending Country,Receiving Country,Object Materials,Country of Origin,Description of Object(s),Object Type,Culture,Size,Findspot,Date Looted,Current Location,Dealer,Year Acquired,Museum Name
1127,Kneeling Attendants,Yes,2013,USA,Cambodia,Sandstone,Cambodia,Two 10th century Khmer sculptures of Kneeling Attendants,"Sculpture – statues, carvings, bronzes, reliefs, figurines",Khmer,5,"Prasat Chen Temple, Koh Ker, Cambodia",c. 1972 (Khmer Rouge era),"Prasat Chen, Chok Gargyar (Koh Ker), Cambodia",Douglas Latchford,"1987 - 1992, in fragments",Metropolitan Museum of Art
1143,Norton Simon Nataraja,Yes,1976,USA,India,Bronze,India,"Lord Siva, or Sivapuram Nataraja, found in Sivapuram, Tamil Nadu","Sculpture – statues, carvings, bronzes, reliefs, figurines",Chola,4,"Sivapuram, Tamil Nadu",1956,"Kapaleeswarar Temple, Chennai, Tamil Nadu, India",Ben Heller | Boman Behram,1973,Norton Simon Museum
1146,Tlingit Totem Pole,Yes,2001,USA,USA | Indigenous or sovereign nation/tribe,Wood,USA | Indigenous or sovereign nation/tribe,Bear den totem pole representing the history of the Teikweidi (Brown Bear) Clan of the Tlingit Nation. ,"Monument – obelisks, stelae, tombstones, totem poles",Tlingit People,5,"Hoots-Hit House, Gaash, Cape Fox, Alaska",1899,"Gaash, Cape Fox, Alaska",,1990,"Peabody Museum, Harvard University"
1147,Kanakaria Mosaics,Yes,1991,USA,Cyprus,Various,Cyprus,Byzantine mosaics removed from the apse of the Church of the Panagia Kanakaria in Cyprus in 1976.,"Visual Work – paintings, frescos, mosaics",,3,"Church of the Panagia in Kanakaria, Cyprus",1976,"Byzantine Museum of the Archbishop Makarios III Foundation, Cyprus",Michel van Rijn | Peg Goldberg,not acquired,J. Paul Getty Museum
1149,Dat-Hamim Stele,Yes,2004,USA,Yemen,Limestone,Yemen,"An inscribed alabaster limestone slab, a bas-relief of fertility goddess Dat-Hamim on a foot-high tablet. The dimensions are 39 cm x 23.5 cm x 2 cm, 3.5 cm at the edge. ","Sculpture – statues, carvings, bronzes, reliefs, figurines",Himyarite Kingdom,2,Aden Museum ,July 1994,National Museum of Yemen,Ali Aboutaam,1994 or earlier,Aden Museum
1168,Duryodhana,Yes,2014,USA,Cambodia,Stone,Cambodia,"A 10th century sculpture of Duryodhana looted from the Prasat Chen temple of Koh Ker, Cambodia. Feet of the sculpture were discovered in situ in Prasat Chen, Koh Ker.","Sculpture – statues, carvings, bronzes, reliefs, figurines",Khmer,5,"Prasat Chen, Koh Ker","c. 1972 (Khmer Rouge era), if not earlier",Cambodia,Douglas Latchford,,
1178,Toledo Ganesha,Yes,2016,USA,India,Bronze,India,"Patinated bronze sculpture of the elephant-headed Hindu deity Ganesha, 19 in. (48.3 cm) tall. The sculpture is standing on a lotus base with lugs for carrying it during processions. Ganesha holds his major attributes in his four hands, his broken off tusk, an elephant goad, a noose, and a sweet ball.","Sculpture – statues, carvings, bronzes, reliefs, figurines",Chola,2,"A Sivan Temple, Tamil Nadu, India. Possibly the Ariyalur Temple.",Early 2006 or before,"Possibly the Sivan Temple in Ariyalur, Tamil Nadu, India",Subhash Kapoor,2006,Toledo Museum of Art
1191,The Machu Picchu Collection,Yes,2012,USA,Peru,Various,Peru,"40,000 objects of various types, including pottery, jewelry, and human remains from Machu Picchu, Peru.  ",Various | Human Remains | Pottery | Jewelry,Inca,2,"Machu Picchu, Peru",1911,"Universidad Nacional de San Antonio Abad del Cusco, Peru | Casa Concho Museum, Cusco, Peru",,1911-1916,"Peabody Museum of Natural History, Yale University"
1197,2 Maya Ceramic Cylinders,Yes,2012,USA,Guatemala,Ceramic,Guatemala,Two Maya Ceramic Cylinders ,"Vessel – pots, amphorae, vases, kraters",Maya,2,,,,,,
1199,Head of Hades,Yes,2013,USA,Italy,Terracotta,Italy,"A white terracotta head depicting the Greek god Hades. It is dated to 300 BCE. The head has been roughly removed from the rest of the body, as noticed by the breakage lines on the bottom of the artifact. This breakage allowed for its provenance to be traced to Morgantina in Sicily, as other fractured pieces of the terracotta body matched to the discontinuous breakage lines on the head.","Sculpture – statues, carvings, bronzes, reliefs, figurines",Greek,3,Morgantina,1970's,"Museo Archeologico,  Aidone (Sicily)",Robin Symes,1985,J. Paul Getty Museum
